Theta	FWHM	angleerror	FWHMerror									
40	2.1927	2	0.0269									
50	2.1922	2	0.0252									
60	2.1974	2	0.0263									
70	2.2071	2	0.0308									
80	2.2191	2	0.0338									
90	2.2357	2	0.0368									
100	2.2503	2	0.042									
110	2.2629	2	0.051									
120	2.2716	2	0.0503									
130	2.2798	2	0.0531									
140	2.2846	2	0.0516									
150	2.2817	2	0.0459									
160	2.2753	2	0.0481									
170	2.2625	2	0.0394									
190	2.2351	2	0.0332									
200	2.2072	2	0.0272									
												
												
												
												
												
												
												
		LORENTZ										
	angle											
		g										
	10	2.2232										
	20	2.211										
	30	2.1999										
	40	2.1932										
	50	2.1927										
	60	2.1981										
	70	2.2085										
	80	2.2215										
	90	2.2398										
	100	2.2557										
	110	2.2711										
	120	2.2809										
	130	2.2873										
	140	2.2891										
	150	2.2859										
	160	2.2791										
	170	2.2642										
	190	2.2371										
	200	2.2089										
												
												
												
												
												
												
												
												
												
												
												
		GAUSSian										
	angle	g										
												
	10	2.2186										
	20	2.2087										
	30	2.1991										
	40	2.1927										
	50	2.1922										
	60	2.1974										
	70	2.2071										
	80	2.2191										
	90	2.2357										
	100	2.2503										
	110	2.2629										
	120	2.2716										
	130	2.2798										
	140	2.2846										
	150	2.2817										
	160	2.2753										
	170	2.2625										
	190	2.2351										
	200	2.2072										
